BelgiansWaffle,23.0532455,72.5454659,3.7,"D-5,SwaminarayanAvenue,AECCrossRoad,NearTorrentPower,Naranpura,Ahmedabad"
BelgiansWaffwichWaffle,23.04211679,72.49415416,3.9,"SBRSocial,OppositeGotilaAudaGarden,BesideSattvaVikasSchool,SindhuBhavanRoad,Bodakdev,Ahmedabad"
BelgianWaffle,23.00050304,72.60009706,3.6,"Shop3,GroundFloor,SheetalPlaza,ManiNagar,Ahmedabad"
BeraSamosa,23.02473388,72.58207429,3.6,"BelowAlifMasjid,KaranjPoliceStation,Bhadra,Ahmedabad"
BeraSamosa,23.02473388,72.58207429,3.7,"AdvanceCinemaRoad,OppositeCTOOffice,Bhadra,Ahmedabad"
BeraSamosa,23.02473388,72.58207429,3.8,"25/1,2,BhatiarGali,KhasBazaar,Bhadra,Ahmedabad"
BeraSamosa,22.9901982,72.5141288,3.9,"NearMasjid-E-Hazra,Sarkhej-MakarbaRoad,Sarkhej,Ahmedabad"
BigBiteCafe,23.04236176,72.49438047,3.2,"SBRSocial,BesideSattvaVikasSchool,SindhuBhavanRoad,Bodakdev,Ahmedabad"
BihariSamosaCentre,23.1160222,72.5807742,3,"OppositeChandkhedaBusStop,Chandkheda,Ahmedabad"
Bikanervala,23.106945,72.598199,3.4,"GroundFloor01,DevBusinessHub,VisatGandhinagarRoad,Chandkheda,Ahmedabad"
Bikanervala,23.0121185,72.5131662,3.7,"G-4,DevAurum,AnandnagarRoad,PrahladNagar,Ahmedabad"
Bikanervala,23.02252606,72.54115887,3.9,"239/B,NearNehruNagarCircle,Satellite,Ahmedabad"
Birmies,23.02691234,72.54444558,4.1,"13,GroundFloor,AntrikshComplex,PanjrapoleCrossRoad,Vastrapur,Ahmedabad"
Biskut,23.03530218,72.51965191,4.5,"NexttoDipaliShahLane,OppositeAkashTowers,JudgesBungalow,Bodakdev,Ahmedabad"
Bismillah,23.02743535,72.58114256,3.3,"JashwantChamber,OppositeSidiSayyedJali,LalDarwaja,Ahmedabad"
Bistro61,23.02820644,72.54255597,2.7,"101,102,FirstFloor,ShivalikPlaza,OppositeAMA,IIMRoad,Vastrapur,Ahmedabad"
BituDaDhaba,23.0395131,72.52764992,3.5,"GroundFloor,SagarComplex,Vastrapur,Ahmedabad"
Blue-RooftopCafeRestaurantBistro,23.02902813,72.55710293,3.9,"10thFloor,BalajiHeightsBuliding,BesidesTanishqShowroom,OffCGRoad,Ahmedabad"
BluezTerraceCafe,23.03069279,72.55857378,4,"421,4thFloor,Supermall,NearLalBungalow,CGRoad,Ahmedabad"
Bogarosa,23.03523461,72.50644438,4.1,"299/1,Beside9thAvenueBuilding,Bodakdev,Ahmedabad"
BombayKulfiandIceCream,22.99971821,72.6022891,3.6,"3,KBComplex,LGRoad,OppositeRamkrishnaKendra,Rambaug,ManiNagar,Ahmedabad"
BopalBiryaniCentre,23.01695654,72.47458577,3.9,"F/214,SoboCentre,SouthBopal,Bopal,Ahmedabad"
BostonShakes,23.0218432,72.5220236,2.9,"Shop12,FirstFloor,JayFirthAvenue,OppositePruthviTower,NearKarnavatiComplex,PrernatirthRoad,Jodhpur,Satellite,Ahmedabad"
BrainFreezeIceCream&Desserts,23.0329668,72.55790759,4.3,"ShopG5,DwarkeshComplex,OffCGRoad,Navrangpura,Ahmedabad"
BrainFreezeIceCream&Desserts,23.0383938,72.5105891,4.4,"Shop10,GroundFloor,Co-operateHouse,Bodakdev,Ahmedabad"
BreadBox,23.03799604,72.51298931,3.8,"A1/2,SankalpBuilding,JudgesBungalowRoad,Bodakdev,Ahmedabad"
Brewgarten,23.03565176,72.55461518,4.3,"Shop8&9,KashiBhuvan,NarayanParkSociety,Navrangpura,Ahmedabad"
BrickKitchen-FivePetals,23.07120804,72.53944796,4.5,"AtFivePetalsHotel&amp;Banquets,NearChanakyapuriBridge,Ghatlodia,Ahmedabad"
BrothersBrand,23.0408728,72.5238887,4,"Shop40,GroundFloor,AdwaitComplex,NearSandeshPress,VastrapurLakeRaod,Vastrapur,Ahmedabad"
Brown&Happy,23.03020157,72.56274194,4,"3,MeghaGardenHouse,OppositeKotakMahindraBank,MithakhaliSixRoads,Navrangpura,Ahmedabad"
BrownBurgerCo,23.05989047,72.55379207,4,"NearICICIBank,AnkurCharRasta,Naranpura,Ahmedabad"
BrowniePoint,23.02761833,72.52656698,3.8,"OppositeUdgamPrePrimarySchool,JodhpurCrossRoads,Satellite,Ahmedabad"
BUBBLEPOP!,23.03114852,72.54858691,4.6,"GroundFloor,KrutiApartments,Dr.PradipADoshiHospital,UniversityArea,OppositeOldPassportOffice,Navrangpura,Ahmedabad"
Buddy'sPizza,23.011597,72.507266,2.5,"GF/9,CampusCorner2,NearSalesIndia,AnandNagarRoad,PrahladNagar,Ahmedabad"
BudhalalDudhwala,23.02258963,72.58781321,3.5,"OppositeHarshukhMehtaKhancho,MandviNiPol,Manekchowk,Ahmedabad"
Buffetos,23.03889048,72.51090355,4,"SilverRadiance,SindhuBhavanRoad,NearPakvanCrossRoads,Bodakdev,Ahmedabad"
BurgerKing,23.01186727,72.51210082,3.7,"ShopNo1,VenusAtlantisBusinessPark,100FtMainRoad,AnandnagarVejalpur,PrahladNagar,Ahmedabad"
BurgerKing,23.04620748,72.53080286,3.9,"GroundFloor,HimalayaMall,Drive-in-Road,Gurukul,Ahmedabad"
Burgerlicious,23.04075001,72.54855137,4.5,"105,Universityplaza,UpperLevel,AboveChocolateRoom,NearVijayCrossRoads,Navrangpura,Ahmedabad"
Burgometry,23.03787725,72.55852114,3.9,"NearIndianOilPetrolPump,SwastikCrossRoad,Navrangpura,Ahmedabad"
Busker'sCorner,23.05211917,72.51850761,4.3,"Stall21,OppositeMuktiMangalTenaments,Thaltej-NewyorkTowerServiceRoad,SGHighway.,Thaltej,Ahmedabad"
Buttercupp,23.04113505,72.52541061,4.9,"4,AdvaitMall,SandeshPressRoad,Vastrapur,Ahmedabad"
Caf̩VentureStudio,23.03994258,72.553894,3.4,"AGTeachersCampus,BehindHanumanMandir,HLCollege6Roads,Navrangpura,Ahmedabad"
Caf̩Wrapico,23.022637,72.471814,2.6,"Shop1,DaffodilsPlazaNearSoboCenter,SouthBopal,Ahmedabad"
Cafe15A-Starottel,23.05222529,72.57154696,2.9,"15Starottel,AshramRoad,Ahmedabad"
